"INFORMATION TYPE","DATE","PERIOD","WEP ($/MWh)","USEP ($/MWh)","AFP ($/MWh)","HEUR ($/MWh)","HLCU ($/MWh)","MEUC ($/MWh)","EMC Price Cap Fees ($/MWh)","EMC Price Adj Fees ($/MWh)","PSO Fees ($/MWh)"
"WEP","03 Sep 2018","1","91.38","90.79","0.03","-0.18","0.00","0.21","0.3016","0.0000","0.2347"
"WEP","03 Sep 2018","2","89.97","89.13","0.02","0.08","0.00","0.21","0.3016","0.0000","0.2347"
"WEP","03 Sep 2018","3","89.92","89.12","0.02","0.03","0.00","0.21","0.3016","0.0000","0.2347"
"WEP","03 Sep 2018","4","89.94","89.22","0.02","-0.05","0.00","0.21","0.3016","0.0000","0.2347"
"WEP","03 Sep 2018","5","89.25","88.60","0.02","-0.12","0.00","0.21","0.3016","0.0000","0.2347"
"WEP","03 Sep 2018","6","88.02","87.28","0.02","-0.03","0.00","0.21","0.3016","0.0000","0.2347"
"WEP","03 Sep 2018","7","87.37","86.58","0.02","0.03","0.00","0.21","0.3016","0.0000","0.2347"
"WEP","03 Sep 2018","8","86.75","86.04","0.00","-0.04","0.00","0.21","0.3016","0.0000","0.2347"
"WEP","03 Sep 2018","9","86.44","85.59","0.00","0.10","0.00","0.21","0.3016","0.0000","0.2347"
"WEP","03 Sep 2018","10","86.29","85.59","0.00","-0.04","0.00","0.21","0.3016","0.0000","0.2347"
"WEP","03 Sep 2018","11","87.16","86.53","0.02","-0.13","0.00","0.21","0.3016","0.0000","0.2347"
"WEP","03 Sep 2018","12","89.36","88.65","0.03","-0.06","0.00","0.21","0.3016","0.0000","0.2347"
"WEP","03 Sep 2018","13","92.37","91.82","0.03","-0.23","0.00","0.21","0.3016","0.0000","0.2347"
"WEP","03 Sep 2018","14","91.40","90.83","0.03","-0.20","0.00","0.21","0.3016","0.0000","0.2347"
"WEP","03 Sep 2018","15","91.49","91.10","0.17","-0.53","0.00","0.21","0.3016","0.0000","0.2347"
"WEP","03 Sep 2018","16","94.53","93.89","0.17","-0.27","0.00","0.21","0.3016","0.0000","0.2347"
"WEP","03 Sep 2018","17","104.50","104.32","0.20","-0.76","0.00","0.21","0.3016","0.0000","0.2347"
"WEP","03 Sep 2018","18","104.96","104.33","0.23","-0.34","0.00","0.21","0.3016","0.0000","0.2347"
"WEP","03 Sep 2018","19","102.71","102.35","0.18","-0.57","0.00","0.21","0.3016","0.0000","0.2347"
"WEP","03 Sep 2018","20","104.72","104.36","0.20","-0.59","0.00","0.21","0.3016","0.0000","0.2347"
"WEP","03 Sep 2018","21","108.60","108.13","0.23","-0.51","0.00","0.21","0.3016","0.0000","0.2347"
"WEP","03 Sep 2018","22","109.72","109.54","0.24","-0.81","0.00","0.21","0.3016","0.0000","0.2347"
"WEP","03 Sep 2018","23","109.90","109.55","0.23","-0.63","0.00","0.21","0.3016","0.0000","0.2347"
"WEP","03 Sep 2018","24","105.05","104.91","0.15","-0.76","0.00","0.21","0.3016","0.0000","0.2347"
"WEP","03 Sep 2018","25","104.62","104.38","0.14","-0.65","0.00","0.21","0.3016","0.0000","0.2347"
"WEP","03 Sep 2018","26","105.19","104.92","0.15","-0.63","0.00","0.21","0.3016","0.0000","0.2347"
"WEP","03 Sep 2018","27","109.13","108.81","0.20","-0.63","0.00","0.21","0.3016","0.0000","0.2347"
"WEP","03 Sep 2018","28","108.98","108.81","0.21","-0.79","0.00","0.21","0.3016","0.0000","0.2347"
"WEP","03 Sep 2018","29","109.65","109.22","0.21","-0.52","0.00","0.21","0.3016","0.0000","0.2347"
"WEP","03 Sep 2018","30","109.60","109.22","0.20","-0.57","0.00","0.21","0.3016","0.0000","0.2347"
"WEP","03 Sep 2018","31","109.48","109.29","0.20","-0.75","0.00","0.21","0.3016","0.0000","0.2347"
"WEP","03 Sep 2018","32","109.71","109.56","0.20","-0.80","0.00","0.21","0.3016","0.0000","0.2347"
