"INFORMATION TYPE","DATE","PERIOD","WEP ($/MWh)","USEP ($/MWh)","AFP ($/MWh)","HEUR ($/MWh)","HLCU ($/MWh)","MEUC ($/MWh)","EMC Price Cap Fees ($/MWh)","EMC Price Adj Fees ($/MWh)","PSO Fees ($/MWh)"
"WEP","12 Nov 2018","1","102.08","100.89","0.04","0.41","0.00","0.20","0.3016","0.0034","0.2354"
"WEP","12 Nov 2018","2","102.11","100.74","0.02","0.61","0.00","0.20","0.3016","0.0034","0.2354"
"WEP","12 Nov 2018","3","101.37","100.57","0.02","0.04","0.00","0.20","0.3016","0.0034","0.2354"
"WEP","12 Nov 2018","4","100.54","99.22","0.14","0.44","0.00","0.20","0.3016","0.0034","0.2354"
"WEP","12 Nov 2018","5","97.73","96.23","0.19","0.57","0.00","0.20","0.3016","0.0034","0.2354"
"WEP","12 Nov 2018","6","96.97","95.68","0.15","0.40","0.00","0.20","0.3016","0.0034","0.2354"
"WEP","12 Nov 2018","7","96.06","95.04","0.05","0.23","0.00","0.20","0.3016","0.0034","0.2354"
"WEP","12 Nov 2018","8","95.96","94.76","0.05","0.41","0.00","0.20","0.3016","0.0034","0.2354"
"WEP","12 Nov 2018","9","96.33","94.72","0.05","0.82","0.00","0.20","0.3016","0.0034","0.2354"
"WEP","12 Nov 2018","10","97.19","95.64","0.04","0.77","0.00","0.20","0.3016","0.0034","0.2354"
"WEP","12 Nov 2018","11","100.47","98.95","0.18","0.60","0.00","0.20","0.3016","0.0034","0.2354"
"WEP","12 Nov 2018","12","101.45","100.47","0.27","-0.03","0.00","0.20","0.3016","0.0034","0.2354"
"WEP","12 Nov 2018","13","101.44","100.87","0.45","-0.62","0.00","0.20","0.3016","0.0034","0.2354"
"WEP","12 Nov 2018","14","116.11","115.75","0.31","-0.69","0.00","0.20","0.3016","0.0034","0.2354"
"WEP","12 Nov 2018","15","124.21","123.14","0.92","-0.59","0.00","0.20","0.3016","0.0034","0.2354"
"WEP","12 Nov 2018","16","139.36","137.86","1.25","-0.49","0.00","0.20","0.3016","0.0034","0.2354"
"WEP","12 Nov 2018","17","299.21","295.63","4.31","-1.48","0.00","0.20","0.3016","0.0034","0.2354"
"WEP","12 Nov 2018","18","299.91","295.98","4.19","-1.00","0.00","0.20","0.3016","0.0034","0.2354"
"WEP","12 Nov 2018","19","299.98","296.23","3.92","-0.91","0.00","0.20","0.3016","0.0034","0.2354"
"WEP","12 Nov 2018","20","300.35","297.72","3.62","-1.73","0.00","0.20","0.3016","0.0034","0.2354"
"WEP","12 Nov 2018","21","290.72","287.47","3.36","-0.85","0.00","0.20","0.3016","0.0034","0.2354"
"WEP","12 Nov 2018","22","291.29","289.10","3.25","-1.80","0.00","0.20","0.3016","0.0034","0.2354"
"WEP","12 Nov 2018","23","290.30","287.56","3.23","-1.23","0.00","0.20","0.3016","0.0034","0.2354"
"WEP","12 Nov 2018","24","272.28","270.46","2.76","-1.68","0.00","0.20","0.3016","0.0034","0.2354"
"WEP","12 Nov 2018","25","203.41","202.23","1.98","-1.54","0.00","0.20","0.3016","0.0034","0.2354"
"WEP","12 Nov 2018","26","257.00","255.34","2.55","-1.63","0.00","0.20","0.3016","0.0034","0.2354"
"WEP","12 Nov 2018","27","139.14","138.68","0.86","-1.14","0.00","0.20","0.3016","0.0034","0.2354"
"WEP","12 Nov 2018","28","138.59","138.30","0.68","-1.13","0.00","0.20","0.3016","0.0034","0.2354"
"WEP","12 Nov 2018","29","133.77","133.09","0.56","-0.62","0.00","0.20","0.3016","0.0034","0.2354"
"WEP","12 Nov 2018","30","130.93","130.67","0.53","-1.01","0.00","0.20","0.3016","0.0034","0.2354"
"WEP","12 Nov 2018","31","130.20","130.03","0.41","-0.98","0.00","0.20","0.3016","0.0034","0.2354"
"WEP","12 Nov 2018","32","131.08","131.08","0.49","-1.23","0.00","0.20","0.3016","0.0034","0.2354"
