"INFORMATION TYPE","DATE","PERIOD","WEP ($/MWh)","USEP ($/MWh)","AFP ($/MWh)","HEUR ($/MWh)","HLCU ($/MWh)","MEUC ($/MWh)","EMC Price Cap Fees ($/MWh)","EMC Price Adj Fees ($/MWh)","PSO Fees ($/MWh)"
"WEP","17 Sep 2018","1","119.30","118.92","0.25","-0.61","0.00","0.21","0.3016","0.0000","0.2289"
"WEP","17 Sep 2018","2","114.35","114.41","0.07","-0.87","0.00","0.21","0.3016","0.0000","0.2289"
"WEP","17 Sep 2018","3","110.47","110.86","0.05","-1.18","0.00","0.21","0.3016","0.0000","0.2289"
"WEP","17 Sep 2018","4","110.26","110.16","0.03","-0.67","0.00","0.21","0.3016","0.0000","0.2289"
"WEP","17 Sep 2018","5","108.69","108.25","0.02","-0.32","0.00","0.21","0.3016","0.0000","0.2289"
"WEP","17 Sep 2018","6","103.88","103.55","0.02","-0.43","0.00","0.21","0.3016","0.0000","0.2289"
"WEP","17 Sep 2018","7","100.10","99.88","0.02","-0.54","0.00","0.21","0.3016","0.0000","0.2289"
"WEP","17 Sep 2018","8","100.93","100.57","0.02","-0.40","0.00","0.21","0.3016","0.0000","0.2289"
"WEP","17 Sep 2018","9","100.59","100.13","0.02","-0.30","0.00","0.21","0.3016","0.0000","0.2289"
"WEP","17 Sep 2018","10","101.00","100.57","0.01","-0.32","0.00","0.21","0.3016","0.0000","0.2289"
"WEP","17 Sep 2018","11","102.04","101.31","0.03","-0.04","0.00","0.21","0.3016","0.0000","0.2289"
"WEP","17 Sep 2018","12","103.68","103.09","0.03","-0.18","0.00","0.21","0.3016","0.0000","0.2289"
"WEP","17 Sep 2018","13","111.19","110.87","0.45","-0.87","0.00","0.21","0.3016","0.0000","0.2289"
"WEP","17 Sep 2018","14","114.61","114.57","0.29","-0.99","0.00","0.21","0.3016","0.0000","0.2289"
"WEP","17 Sep 2018","15","102.07","101.81","0.60","-1.08","0.00","0.21","0.3016","0.0000","0.2289"
"WEP","17 Sep 2018","16","112.30","111.77","0.59","-0.80","0.00","0.21","0.3016","0.0000","0.2289"
"WEP","17 Sep 2018","17","118.91","119.28","0.45","-1.56","0.00","0.21","0.3016","0.0000","0.2289"
"WEP","17 Sep 2018","18","126.93","127.09","0.74","-1.64","0.00","0.21","0.3016","0.0000","0.2289"
"WEP","17 Sep 2018","19","118.99","119.10","0.42","-1.27","0.00","0.21","0.3016","0.0000","0.2289"
"WEP","17 Sep 2018","20","124.99","125.04","0.49","-1.28","0.00","0.21","0.3016","0.0000","0.2289"
"WEP","17 Sep 2018","21","129.10","129.18","0.54","-1.36","0.00","0.21","0.3016","0.0000","0.2289"
"WEP","17 Sep 2018","22","121.95","122.03","0.39","-1.21","0.00","0.21","0.3016","0.0000","0.2289"
"WEP","17 Sep 2018","23","121.43","121.91","0.38","-1.60","0.00","0.21","0.3016","0.0000","0.2289"
"WEP","17 Sep 2018","24","114.41","114.75","0.25","-1.33","0.00","0.21","0.3016","0.0000","0.2289"
"WEP","17 Sep 2018","25","113.88","114.15","0.25","-1.26","0.00","0.21","0.3016","0.0000","0.2289"
"WEP","17 Sep 2018","26","114.43","114.58","0.25","-1.14","0.00","0.21","0.3016","0.0000","0.2289"
"WEP","17 Sep 2018","27","116.65","116.83","0.33","-1.25","0.00","0.21","0.3016","0.0000","0.2289"
"WEP","17 Sep 2018","28","116.82","117.26","0.29","-1.47","0.00","0.21","0.3016","0.0000","0.2289"
"WEP","17 Sep 2018","29","116.23","116.84","0.29","-1.64","0.00","0.21","0.3016","0.0000","0.2289"
"WEP","17 Sep 2018","30","116.25","116.85","0.25","-1.59","0.00","0.21","0.3016","0.0000","0.2289"
"WEP","17 Sep 2018","31","116.53","116.83","0.28","-1.32","0.00","0.21","0.3016","0.0000","0.2289"
"WEP","17 Sep 2018","32","116.49","116.79","0.28","-1.32","0.00","0.21","0.3016","0.0000","0.2289"
"WEP","17 Sep 2018","33","116.25","116.85","0.26","-1.60","0.00","0.21","0.3016","0.0000","0.2289"
"WEP","17 Sep 2018","34","114.09","114.76","0.27","-1.68","0.00","0.21","0.3016","0.0000","0.2289"
"WEP","17 Sep 2018","35","115.92","116.79","0.32","-1.93","0.00","0.21","0.3016","0.0000","0.2289"
"WEP","17 Sep 2018","36","112.07","112.81","0.33","-1.81","0.00","0.21","0.3016","0.0000","0.2289"
"WEP","17 Sep 2018","37","106.74","107.00","0.17","-1.17","0.00","0.21","0.3016","0.0000","0.2289"
"WEP","17 Sep 2018","38","114.10","114.07","0.23","-0.94","0.00","0.21","0.3016","0.0000","0.2289"
"WEP","17 Sep 2018","39","115.04","114.74","0.22","-0.66","0.00","0.21","0.3016","0.0000","0.2289"
"WEP","17 Sep 2018","40","115.09","114.70","0.44","-0.79","0.00","0.21","0.3016","0.0000","0.2289"
"WEP","17 Sep 2018","41","114.86","114.80","0.44","-1.12","0.00","0.21","0.3016","0.0000","0.2289"
"WEP","17 Sep 2018","42","127.23","126.94","0.65","-1.10","0.00","0.21","0.3016","0.0000","0.2289"
"WEP","17 Sep 2018","43","118.98","118.82","0.50","-1.08","0.00","0.21","0.3016","0.0000","0.2289"
"WEP","17 Sep 2018","44","111.78","111.90","0.39","-1.25","0.00","0.21","0.3016","0.0000","0.2289"
"WEP","17 Sep 2018","45","110.85","110.77","0.47","-1.13","0.00","0.21","0.3016","0.0000","0.2289"
"WEP","17 Sep 2018","46","121.93","121.86","0.60","-1.27","0.00","0.21","0.3016","0.0000","0.2289"
"WEP","17 Sep 2018","47","125.08","124.84","0.66","-1.16","0.00","0.21","0.3016","0.0000","0.2289"
"WEP","17 Sep 2018","48","118.33","118.58","0.46","-1.45","0.00","0.21","0.3016","0.0000","0.2289"
"WEP","18 Sep 2018","1","172.24","172.36","0.75","-1.61","0.00","0.21","0.3016","0.0000","0.2280"
"WEP","18 Sep 2018","2","151.23","151.48","0.36","-1.35","0.00","0.21","0.3016","0.0000","0.2280"
"WEP","18 Sep 2018","3","137.11","137.00","0.29","-0.92","0.00","0.21","0.3016","0.0000","0.2280"
"WEP","18 Sep 2018","4","153.38","152.90","0.68","-0.93","0.00","0.21","0.3016","0.0000","0.2280"
"WEP","18 Sep 2018","5","920.59","924.33","3.79","-8.27","0.00","0.21","0.3016","0.0000","0.2280"
"WEP","18 Sep 2018","6","350.55","350.56","3.24","-3.99","0.00","0.21","0.3016","0.0000","0.2280"
"WEP","18 Sep 2018","7","415.65","415.56","3.59","-4.23","0.00","0.21","0.3016","0.0000","0.2280"
"WEP","18 Sep 2018","8","217.96","216.52","1.72","-1.02","0.00","0.21","0.3016","0.0000","0.2280"
"WEP","18 Sep 2018","9","203.31","201.80","1.43","-0.66","0.00","0.21","0.3016","0.0000","0.2280"
"WEP","18 Sep 2018","10","194.81","193.31","1.43","-0.66","0.00","0.21","0.3016","0.0000","0.2280"
"WEP","18 Sep 2018","11","171.96","170.43","1.26","-0.47","0.00","0.21","0.3016","0.0000","0.2280"
"WEP","18 Sep 2018","12","132.06","129.90","1.47","-0.05","0.00","0.21","0.3016","0.0000","0.2280"
"WEP","18 Sep 2018","13","196.22","193.32","2.93","-0.77","0.00","0.21","0.3016","0.0000","0.2280"
"WEP","18 Sep 2018","14","129.67","127.95","1.64","-0.65","0.00","0.21","0.3016","0.0000","0.2280"
"WEP","18 Sep 2018","15","126.27","123.78","2.93","-1.18","0.00","0.21","0.3016","0.0000","0.2280"
"WEP","18 Sep 2018","16","272.72","267.82","5.43","-1.27","0.00","0.21","0.3016","0.0000","0.2280"
"WEP","18 Sep 2018","17","309.14","305.69","5.74","-3.03","0.00","0.21","0.3016","0.0000","0.2280"
"WEP","18 Sep 2018","18","292.76","290.01","5.34","-3.33","0.00","0.21","0.3016","0.0000","0.2280"
"WEP","18 Sep 2018","19","455.02","455.48","6.12","-7.32","0.00","0.21","0.3016","0.0000","0.2280"
"WEP","18 Sep 2018","20","736.01","739.38","4.94","-9.04","0.00","0.21","0.3016","0.0000","0.2280"
"WEP","18 Sep 2018","21","1242.56","1252.40","4.82","-15.40","0.00","0.21","0.3016","0.0000","0.2280"
"WEP","18 Sep 2018","22","1342.56","1354.60","5.10","-17.88","0.00","0.21","0.3016","0.0000","0.2280"
"WEP","18 Sep 2018","23","1152.99","1164.00","5.06","-16.81","0.00","0.21","0.3016","0.0000","0.2280"
"WEP","18 Sep 2018","24","389.83","390.84","3.93","-5.68","0.00","0.21","0.3016","0.0000","0.2280"
"WEP","18 Sep 2018","25","288.78","288.68","3.43","-4.07","0.00","0.21","0.3016","0.0000","0.2280"
"WEP","18 Sep 2018","26","299.83","300.56","3.47","-4.94","0.00","0.21","0.3016","0.0000","0.2280"
"WEP","18 Sep 2018","27","330.05","331.71","3.04","-5.44","0.00","0.21","0.3016","0.0000","0.2280"
"WEP","18 Sep 2018","28","561.58","566.16","3.32","-8.64","0.00","0.21","0.3016","0.0000","0.2280"
"WEP","18 Sep 2018","29","500.69","502.75","3.32","-6.12","0.00","0.21","0.3016","0.0000","0.2280"
"WEP","18 Sep 2018","30","421.41","422.30","3.17","-4.80","0.00","0.21","0.3016","0.0000","0.2280"
"WEP","18 Sep 2018","31","422.27","422.33","3.07","-3.87","0.00","0.21","0.3016","0.0000","0.2280"
"WEP","18 Sep 2018","32","552.00","551.42","3.79","-3.95","0.00","0.21","0.3016","0.0000","0.2280"
"WEP","18 Sep 2018","33","334.20","331.71","3.92","-2.17","0.00","0.21","0.3016","0.0000","0.2280"
"WEP","18 Sep 2018","34","320.86","319.08","4.22","-3.18","0.00","0.21","0.3016","0.0000","0.2280"
"WEP","18 Sep 2018","35","282.58","281.57","4.17","-3.90","0.00","0.21","0.3016","0.0000","0.2280"
"WEP","18 Sep 2018","36","229.54","227.37","4.28","-2.85","0.00","0.21","0.3016","0.0000","0.2280"
"WEP","18 Sep 2018","37","135.47","133.23","2.88","-1.38","0.00","0.21","0.3016","0.0000","0.2280"
"WEP","18 Sep 2018","38","135.54","133.22","2.86","-1.28","0.00","0.21","0.3016","0.0000","0.2280"
"WEP","18 Sep 2018","39","140.34","137.31","2.94","-0.65","0.00","0.21","0.3016","0.0000","0.2280"
"WEP","18 Sep 2018","40","133.86","133.21","1.11","-1.20","0.00","0.21","0.3016","0.0000","0.2280"
"WEP","18 Sep 2018","41","128.74","128.02","1.01","-1.03","0.00","0.21","0.3016","0.0000","0.2280"
"WEP","18 Sep 2018","42","123.87","123.99","0.60","-1.46","0.00","0.21","0.3016","0.0000","0.2280"
"WEP","18 Sep 2018","43","130.86","130.82","0.74","-1.44","0.00","0.21","0.3016","0.0000","0.2280"
"WEP","18 Sep 2018","44","127.88","128.10","0.64","-1.60","0.00","0.21","0.3016","0.0000","0.2280"
"WEP","18 Sep 2018","45","124.01","123.90","0.64","-1.27","0.00","0.21","0.3016","0.0000","0.2280"
"WEP","18 Sep 2018","46","119.11","118.67","0.41","-0.71","0.00","0.21","0.3016","0.0000","0.2280"
"WEP","18 Sep 2018","47","109.18","108.68","0.41","-0.65","0.00","0.21","0.3016","0.0000","0.2280"
"WEP","18 Sep 2018","48","101.38","101.01","0.37","-0.74","0.00","0.21","0.3016","0.0000","0.2280"
"WEP","19 Sep 2018","1","117.64","117.63","0.23","-0.96","0.00","0.21","0.3016","0.0000","0.2331"
"WEP","19 Sep 2018","2","111.89","110.88","0.86","-0.59","0.00","0.21","0.3016","0.0000","0.2331"
"WEP","19 Sep 2018","3","111.72","110.88","0.66","-0.56","0.00","0.21","0.3016","0.0000","0.2331"
"WEP","19 Sep 2018","4","108.96","107.57","0.66","-0.01","0.00","0.21","0.3016","0.0000","0.2331"
"WEP","19 Sep 2018","5","107.30","106.78","0.69","-0.92","0.00","0.21","0.3016","0.0000","0.2331"
"WEP","19 Sep 2018","6","106.89","105.82","0.67","-0.34","0.00","0.21","0.3016","0.0000","0.2331"
"WEP","19 Sep 2018","7","106.21","105.82","0.66","-1.01","0.00","0.21","0.3016","0.0000","0.2331"
"WEP","19 Sep 2018","8","102.27","101.67","0.66","-0.80","0.00","0.21","0.3016","0.0000","0.2331"
"WEP","19 Sep 2018","9","102.66","101.66","0.67","-0.42","0.00","0.21","0.3016","0.0000","0.2331"
"WEP","19 Sep 2018","10","104.00","102.73","0.66","-0.13","0.00","0.21","0.3016","0.0000","0.2331"
"WEP","19 Sep 2018","11","107.62","106.55","0.68","-0.36","0.00","0.21","0.3016","0.0000","0.2331"
"WEP","19 Sep 2018","12","109.46","107.63","1.18","-0.09","0.00","0.21","0.3016","0.0000","0.2331"
"WEP","19 Sep 2018","13","119.33","117.61","1.78","-0.81","0.00","0.21","0.3016","0.0000","0.2331"
"WEP","19 Sep 2018","14","118.89","118.67","0.88","-1.40","0.00","0.21","0.3016","0.0000","0.2331"
"WEP","19 Sep 2018","15","118.34","117.66","1.62","-1.68","0.00","0.21","0.3016","0.0000","0.2331"
"WEP","19 Sep 2018","16","124.47","122.77","1.76","-0.81","0.00","0.21","0.3016","0.0000","0.2331"
"WEP","19 Sep 2018","17","134.75","133.28","1.71","-0.99","0.00","0.21","0.3016","0.0000","0.2331"
"WEP","19 Sep 2018","18","197.91","196.17","2.22","-1.23","0.00","0.21","0.3016","0.0000","0.2331"
"WEP","19 Sep 2018","19","238.32","236.24","2.78","-1.44","0.00","0.21","0.3016","0.0000","0.2331"
"WEP","19 Sep 2018","20","285.56","281.84","4.76","-1.78","0.00","0.21","0.3016","0.0000","0.2331"
"WEP","19 Sep 2018","21","228.99","227.67","2.20","-1.63","0.00","0.21","0.3016","0.0000","0.2331"
"WEP","19 Sep 2018","22","201.36","200.66","1.62","-1.66","0.00","0.21","0.3016","0.0000","0.2331"
"WEP","19 Sep 2018","23","134.59","134.35","0.63","-1.13","0.00","0.21","0.3016","0.0000","0.2331"
"WEP","19 Sep 2018","24","125.55","125.59","0.50","-1.29","0.00","0.21","0.3016","0.0000","0.2331"
"WEP","19 Sep 2018","25","118.82","118.81","0.40","-1.14","0.00","0.21","0.3016","0.0000","0.2331"
"WEP","19 Sep 2018","26","108.96","109.06","0.34","-1.19","0.00","0.21","0.3016","0.0000","0.2331"
"WEP","19 Sep 2018","27","116.59","116.90","0.31","-1.37","0.00","0.21","0.3016","0.0000","0.2331"
"WEP","19 Sep 2018","28","118.53","118.82","0.32","-1.36","0.00","0.21","0.3016","0.0000","0.2331"
"WEP","19 Sep 2018","29","118.45","118.82","0.32","-1.44","0.00","0.21","0.3016","0.0000","0.2331"
"WEP","19 Sep 2018","30","117.59","117.81","0.31","-1.27","0.00","0.21","0.3016","0.0000","0.2331"
"WEP","19 Sep 2018","31","118.72","118.82","0.31","-1.16","0.00","0.21","0.3016","0.0000","0.2331"
"WEP","19 Sep 2018","32","117.95","117.81","0.31","-0.91","0.00","0.21","0.3016","0.0000","0.2331"
"WEP","19 Sep 2018","33","118.00","117.81","0.33","-0.88","0.00","0.21","0.3016","0.0000","0.2331"
"WEP","19 Sep 2018","34","115.97","115.84","0.36","-0.97","0.00","0.21","0.3016","0.0000","0.2331"
"WEP","19 Sep 2018","35","118.53","118.75","0.39","-1.36","0.00","0.21","0.3016","0.0000","0.2331"
"WEP","19 Sep 2018","36","111.82","111.73","0.42","-1.08","0.00","0.21","0.3016","0.0000","0.2331"
"WEP","19 Sep 2018","37","115.99","115.87","0.43","-1.05","0.00","0.21","0.3016","0.0000","0.2331"
"WEP","19 Sep 2018","38","121.39","121.21","0.50","-1.06","0.00","0.21","0.3016","0.0000","0.2331"
"WEP","19 Sep 2018","39","123.64","122.87","0.50","-0.47","0.00","0.21","0.3016","0.0000","0.2331"
"WEP","19 Sep 2018","40","119.09","118.70","0.40","-0.75","0.00","0.21","0.3016","0.0000","0.2331"
"WEP","19 Sep 2018","41","119.09","118.75","0.33","-0.73","0.00","0.21","0.3016","0.0000","0.2331"
"WEP","19 Sep 2018","42","119.33","118.87","0.39","-0.68","0.00","0.21","0.3016","0.0000","0.2331"
"WEP","19 Sep 2018","43","119.54","118.86","0.79","-0.85","0.00","0.21","0.3016","0.0000","0.2331"
"WEP","19 Sep 2018","44","117.80","117.79","0.77","-1.51","0.00","0.21","0.3016","0.0000","0.2331"
"WEP","19 Sep 2018","45","111.28","110.94","1.18","-1.58","0.00","0.21","0.3016","0.0000","0.2331"
"WEP","19 Sep 2018","46","113.80","112.53","1.05","-0.52","0.00","0.21","0.3016","0.0000","0.2331"
"WEP","19 Sep 2018","47","94.31","92.86","1.02","-0.32","0.00","0.21","0.3016","0.0000","0.2331"
"WEP","19 Sep 2018","48","87.77","86.86","0.33","-0.16","0.00","0.21","0.3016","0.0000","0.2331"
"WEP","20 Sep 2018","1","96.63","95.85","0.19","-0.15","0.00","0.21","0.3016","0.0000","0.2332"
"WEP","20 Sep 2018","2","92.23","91.45","0.12","-0.08","0.00","0.21","0.3016","0.0000","0.2332"
"WEP","20 Sep 2018","3","90.59","89.77","0.12","-0.05","0.00","0.21","0.3016","0.0000","0.2332"
"WEP","20 Sep 2018","4","91.00","90.67","0.03","-0.45","0.00","0.21","0.3016","0.0000","0.2332"
"WEP","20 Sep 2018","5","91.55","91.56","0.04","-0.80","0.00","0.21","0.3016","0.0000","0.2332"
"WEP","20 Sep 2018","6","92.58","92.65","0.04","-0.86","0.00","0.21","0.3016","0.0000","0.2332"
"WEP","20 Sep 2018","7","93.17","92.65","0.03","-0.25","0.00","0.21","0.3016","0.0000","0.2332"
"WEP","20 Sep 2018","8","92.23","91.50","0.03","-0.05","0.00","0.21","0.3016","0.0000","0.2332"
"WEP","20 Sep 2018","9","90.48","89.70","0.03","0.01","0.00","0.21","0.3016","0.0000","0.2332"
"WEP","20 Sep 2018","10","89.01","88.28","0.03","-0.04","0.00","0.21","0.3016","0.0000","0.2332"
"WEP","20 Sep 2018","11","91.96","91.65","0.04","-0.47","0.00","0.21","0.3016","0.0000","0.2332"
"WEP","20 Sep 2018","12","94.61","93.83","0.27","-0.23","0.00","0.21","0.3016","0.0000","0.2332"
"WEP","20 Sep 2018","13","96.83","95.83","0.46","-0.20","0.00","0.21","0.3016","0.0000","0.2332"
"WEP","20 Sep 2018","14","100.81","99.54","0.46","0.06","0.00","0.21","0.3016","0.0000","0.2332"
"WEP","20 Sep 2018","15","91.02","89.88","0.85","-0.46","0.00","0.21","0.3016","0.0000","0.2332"
"WEP","20 Sep 2018","16","96.41","94.89","0.81","-0.04","0.00","0.21","0.3016","0.0000","0.2332"
"WEP","20 Sep 2018","17","104.29","103.60","0.77","-0.82","0.00","0.21","0.3016","0.0000","0.2332"
"WEP","20 Sep 2018","18","103.73","102.63","0.78","-0.42","0.00","0.21","0.3016","0.0000","0.2332"
"WEP","20 Sep 2018","19","104.02","103.70","0.32","-0.74","0.00","0.21","0.3016","0.0000","0.2332"
"WEP","20 Sep 2018","20","103.95","103.71","0.21","-0.71","0.00","0.21","0.3016","0.0000","0.2332"
"WEP","20 Sep 2018","21","107.55","107.44","0.20","-0.84","0.00","0.21","0.3016","0.0000","0.2332"
"WEP","20 Sep 2018","22","112.85","112.49","0.30","-0.68","0.00","0.21","0.3016","0.0000","0.2332"
"WEP","20 Sep 2018","23","112.91","112.54","0.29","-0.67","0.00","0.21","0.3016","0.0000","0.2332"
"WEP","20 Sep 2018","24","110.94","110.88","0.27","-0.96","0.00","0.21","0.3016","0.0000","0.2332"
"WEP","20 Sep 2018","25","115.38","115.01","0.30","-0.68","0.00","0.21","0.3016","0.0000","0.2332"
"WEP","20 Sep 2018","26","108.38","107.86","0.27","-0.49","0.00","0.21","0.3016","0.0000","0.2332"
"WEP","20 Sep 2018","27","118.58","118.11","0.33","-0.61","0.00","0.21","0.3016","0.0000","0.2332"
"WEP","20 Sep 2018","28","117.60","117.28","0.33","-0.76","0.00","0.21","0.3016","0.0000","0.2332"
"WEP","20 Sep 2018","29","111.38","110.91","0.25","-0.53","0.00","0.21","0.3016","0.0000","0.2332"
"WEP","20 Sep 2018","30","110.86","110.88","0.25","-1.01","0.00","0.21","0.3016","0.0000","0.2332"
"WEP","20 Sep 2018","31","110.94","110.88","0.25","-0.94","0.00","0.21","0.3016","0.0000","0.2332"
"WEP","20 Sep 2018","32","109.68","109.07","0.27","-0.41","0.00","0.21","0.3016","0.0000","0.2332"
"WEP","20 Sep 2018","33","108.14","107.55","0.28","-0.43","0.00","0.21","0.3016","0.0000","0.2332"
"WEP","20 Sep 2018","34","108.09","107.80","0.36","-0.82","0.00","0.21","0.3016","0.0000","0.2332"
"WEP","20 Sep 2018","35","103.87","103.52","0.50","-0.89","0.00","0.21","0.3016","0.0000","0.2332"
"WEP","20 Sep 2018","36","96.44","95.90","0.69","-0.90","0.00","0.21","0.3016","0.0000","0.2332"
"WEP","20 Sep 2018","37","95.23","94.98","0.55","-1.05","0.00","0.21","0.3016","0.0000","0.2332"
"WEP","20 Sep 2018","38","100.05","99.88","0.62","-1.19","0.00","0.21","0.3016","0.0000","0.2332"
"WEP","20 Sep 2018","39","105.34","104.38","0.62","-0.41","0.00","0.21","0.3016","0.0000","0.2332"
"WEP","20 Sep 2018","40","97.73","96.58","0.42","-0.02","0.00","0.21","0.3016","0.0000","0.2332"
"WEP","20 Sep 2018","41","104.26","103.44","0.53","-0.46","0.00","0.21","0.3016","0.0000","0.2332"
"WEP","20 Sep 2018","42","104.14","103.52","0.42","-0.54","0.00","0.21","0.3016","0.0000","0.2332"
"WEP","20 Sep 2018","43","108.23","107.60","0.43","-0.55","0.00","0.21","0.3016","0.0000","0.2332"
"WEP","20 Sep 2018","44","104.10","103.39","0.41","-0.44","0.00","0.21","0.3016","0.0000","0.2332"
